Simulation Results:
Method: GPU
Path check-points: 20
Rays per check-point: 100
Total Hits: 383
Total Rays: 2000
Hit Ratio: 19.1 %%
Total polygons: 20684
Time [seconds]: 0.046
Time [millisec]: 45
Time [microsec]: 45853

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(12.116,0.500,-8.294) - 1.851
(17.162,0.278,-3.523) - 1.855
(22.459,0.149,-1.918) - 1.857
(11.175,0.912,-0.851) - 1.862
(17.225,0.038,-3.926) - 1.899
(4.513,0.380,-1.593) - 1.900
(24.806,0.822,-6.547) - 1.912
(20.741,0.749,-2.169) - 1.921
(17.060,0.134,-2.873) - 1.921
(17.100,0.542,-3.129) - 1.934
(4.655,0.445,-3.245) - 1.937
(20.460,0.350,-2.210) - 1.944
(12.366,1.030,-8.999) - 1.944
(22.290,0.819,-1.943) - 1.949
(21.903,1.076,-1.999) - 1.957
(16.746,0.160,-9.446) - 2.003
(4.465,0.825,-1.837) - 2.013
(23.193,0.443,-7.329) - 2.014
(6.990,0.061,-7.892) - 2.017
(11.960,0.284,-7.855) - 2.026
(22.923,0.892,-7.367) - 2.074
(20.988,1.255,-2.133) - 2.092
(22.772,0.616,-1.873) - 2.123
(24.687,0.193,-6.123) - 2.146
(9.349,0.411,-1.165) - 2.163
(17.033,0.887,-2.704) - 2.164
(12.024,1.042,-8.036) - 2.170
(9.414,0.697,-1.616) - 2.178
(12.168,1.331,-8.440) - 2.182
(6.058,0.022,-6.777) - 2.210
(7.280,0.244,-7.191) - 2.219
(11.671,0.022,-7.439) - 2.228
(15.077,0.952,-5.574) - 2.268
(16.924,0.114,-2.700) - 2.288
(9.276,0.138,-0.663) - 2.301
(20.260,1.237,-2.239) - 2.379
(11.839,0.835,-7.513) - 2.384
(19.872,0.749,-2.295) - 2.416
(25.975,0.341,-6.296) - 2.438
(12.292,1.820,-8.791) - 2.459
(22.572,1.551,-1.902) - 2.462
(22.885,0.274,-6.659) - 2.487
(25.672,0.879,-6.180) - 2.511
(7.569,0.075,-9.594) - 2.511
(22.845,0.611,-7.192) - 2.547
(23.459,0.409,-1.773) - 2.557
(18.363,0.130,-5.668) - 2.594
(7.332,0.156,-7.345) - 2.603
(16.335,0.470,-2.793) - 2.612
(13.094,0.340,-3.225) - 2.615
(7.801,0.290,-8.725) - 2.634
(23.160,1.326,-1.816) - 2.653
(14.793,0.349,-3.035) - 2.688
(4.311,0.460,-3.366) - 2.705
(16.714,0.624,-4.543) - 2.714
(18.433,0.278,-8.672) - 2.783
(9.487,0.028,-1.664) - 2.817
(15.146,0.967,-2.980) - 2.845
(10.177,0.229,-6.456) - 2.857
(12.132,0.143,-3.430) - 2.859
(16.918,0.286,-5.137) - 2.863
(15.742,0.601,-2.886) - 2.864
(21.737,0.201,-7.848) - 2.867
(19.459,0.834,-2.356) - 2.877
(11.917,1.986,-7.733) - 2.878
(11.561,0.646,-6.727) - 2.935
(13.188,1.821,-7.688) - 2.937
(13.453,2.057,-8.436) - 2.939
(4.519,0.443,-2.555) - 2.955
(3.632,0.119,-3.324) - 2.974
(10.108,0.149,-12.388) - 2.986
(4.643,0.060,-3.187) - 3.000
(15.837,0.391,-10.863) - 3.008
(7.790,0.184,-8.693) - 3.073
(8.177,0.092,-11.384) - 3.077
(19.620,0.216,-8.782) - 3.083
(16.431,0.248,-2.778) - 3.096
(19.322,0.403,-6.197) - 3.098
(14.743,0.248,-3.043) - 3.101
(11.684,1.737,-7.075) - 3.102
(17.154,0.811,-3.475) - 3.121
(12.082,2.611,-8.200) - 3.184
(13.117,0.575,-3.221) - 3.194
(20.172,0.979,-3.634) - 3.263
(24.548,0.457,-6.597) - 3.263
(24.100,1.217,-1.679) - 3.289
(4.105,0.232,-1.483) - 3.315
(14.305,0.436,-7.181) - 3.354
(10.317,0.471,-1.544) - 3.366
(15.166,0.875,-11.136) - 3.366
(9.327,0.641,-1.015) - 3.372
(9.510,0.270,-4.562) - 3.378
(11.207,0.507,-1.074) - 3.378
(6.612,0.034,-7.265) - 3.434
(19.618,0.275,-3.131) - 3.440
(20.389,0.554,-2.220) - 3.465
(12.920,1.359,-6.932) - 3.486
(12.815,1.893,-6.637) - 3.506
(11.104,0.984,-0.356) - 3.513
(20.945,0.141,-6.153) - 3.521
(14.674,0.177,-11.337) - 3.534
(9.937,1.244,-1.313) - 3.553
(9.310,0.785,-0.899) - 3.568
(13.083,0.181,-7.394) - 3.615
(14.831,0.367,-3.029) - 3.673
(11.583,1.388,-5.613) - 3.752
(15.235,1.170,-3.303) - 3.776
(13.636,0.151,-4.605) - 3.781
(22.659,0.156,-4.849) - 3.909
(7.742,0.315,-13.459) - 3.939
(11.284,1.702,-5.947) - 3.957
(14.224,0.647,-11.520) - 4.044
(13.550,0.202,-4.326) - 4.050
(15.710,0.855,-7.428) - 4.071
(21.713,0.208,-13.263) - 4.157
(9.322,0.335,-12.744) - 4.182
(14.650,0.886,-4.328) - 4.217
(16.387,0.678,-2.785) - 4.241
(9.388,0.129,-4.217) - 4.284
(12.953,1.087,-4.534) - 4.349
(11.460,2.186,-6.444) - 4.371
(22.155,0.044,-2.690) - 4.406
(9.361,0.842,-1.254) - 4.433
(10.527,0.135,-3.657) - 4.500
(13.463,1.240,-8.464) - 4.771
(16.915,0.863,-7.401) - 4.797
(11.934,0.144,-3.458) - 4.799
(22.016,0.144,-1.983) - 4.813
(14.181,1.406,-12.652) - 4.848
(12.327,1.271,-5.349) - 4.889
(15.448,0.147,-11.021) - 4.906
(11.826,1.432,-7.477) - 4.937
(11.372,1.656,-5.687) - 5.712
(16.071,0.114,-2.834) - 5.721
(12.222,1.897,-8.593) - 5.927
(20.139,0.179,-2.256) - 5.965
(11.569,2.451,-6.749) - 6.127
(19.749,0.994,-3.514) - 6.210
(16.818,0.628,-4.847) - 6.276
(12.624,2.542,-6.098) - 6.518
(11.801,1.045,-5.535) - 6.531
(21.206,0.873,-13.348) - 6.715
(11.377,2.158,-6.209) - 6.743
(16.515,0.135,-11.990) - 6.744
(11.412,1.299,-6.308) - 6.835
(11.713,1.667,-7.157) - 6.946
(19.531,0.213,-2.875) - 7.106
(11.901,2.300,-7.687) - 7.187
(11.491,1.162,-6.532) - 7.265
(11.921,1.390,-7.745) - 7.316
(12.401,2.684,-5.469) - 7.454
(12.223,1.798,-8.597) - 7.490
(10.315,0.156,-3.687) - 7.824
(11.814,2.305,-7.441) - 7.948
(16.478,0.177,-11.899) - 8.873
(10.637,1.322,-1.212) - 9.444
(14.885,1.545,-14.378) - 9.659
(12.561,2.429,-5.918) - 10.562
(12.357,2.248,-5.344) - 11.240
(13.936,0.974,-11.638) - 12.170
