Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 1486
Total Rays: 8000
Hit Ratio: 18.5 %%
Total polygons: 902
Time [seconds]: 0.218
Time [millisec]: 217
Time [microsec]: 217501

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(0.323,0.443,-0.266) - 0.589
(0.111,0.362,-0.121) - 0.589
(0.274,0.519,-0.026) - 0.589
(-0.286,0.500,0.211) - 0.589
(0.286,0.512,-0.089) - 0.590
(0.335,0.461,-0.272) - 0.590
(0.283,0.520,-0.650) - 0.591
(0.233,0.480,-0.098) - 0.591
(-0.223,0.404,-0.712) - 0.591
(0.257,0.150,0.315) - 0.591
(-0.242,0.436,-0.678) - 0.591
(0.311,0.465,-0.230) - 0.591
(0.390,0.564,-0.495) - 0.591
(0.313,0.532,0.176) - 0.592
(0.338,0.426,-0.305) - 0.593
(-0.318,0.465,-0.254) - 0.594
(-0.182,0.341,0.039) - 0.595
(0.359,0.408,-0.340) - 0.595
(-0.291,0.517,0.255) - 0.595
(0.140,0.399,-0.133) - 0.596
(0.151,0.379,-0.799) - 0.596
(0.268,0.498,-0.129) - 0.597
(0.293,0.542,0.089) - 0.597
(0.228,0.467,-0.763) - 0.599
(-0.170,0.212,0.454) - 0.600
(-0.253,0.253,0.411) - 0.600
(-0.282,0.496,0.161) - 0.600
(0.309,0.527,0.222) - 0.600
(0.307,0.132,-0.484) - 0.601
(0.304,0.494,-0.194) - 0.601
(-0.263,0.477,-0.646) - 0.601
(0.384,0.391,-0.375) - 0.601
(-0.204,0.378,-0.750) - 0.601
(0.273,0.538,0.034) - 0.602
(-0.293,0.134,-0.190) - 0.602
(0.217,0.469,-0.140) - 0.602
(0.275,0.496,0.268) - 0.603
(0.284,0.418,-0.225) - 0.605
(0.311,0.555,-0.621) - 0.606
(0.319,0.558,0.137) - 0.607
(0.067,0.360,-0.068) - 0.608
(0.302,0.548,-0.054) - 0.608
(0.256,0.487,-0.174) - 0.608
(-0.417,0.573,-0.394) - 0.609
(-0.261,0.135,0.348) - 0.609
(0.170,0.441,-0.143) - 0.609
(-0.296,0.518,-0.613) - 0.610
(-0.231,0.502,0.346) - 0.610
(-0.318,0.540,0.198) - 0.612
(-0.261,0.524,0.318) - 0.612
(0.177,0.423,-0.810) - 0.613
(0.411,0.568,-0.384) - 0.614
(0.208,0.458,-0.185) - 0.614
(0.270,0.244,0.316) - 0.615
(-0.285,0.496,0.108) - 0.615
(0.028,0.339,0.062) - 0.615
(0.040,0.352,-0.005) - 0.615
(0.302,0.526,-0.158) - 0.615
(0.422,0.556,-0.341) - 0.616
(0.410,0.584,-0.428) - 0.617
(-0.153,0.156,-0.702) - 0.618
(-0.201,0.487,0.380) - 0.619
(0.173,0.309,0.416) - 0.619
(-0.356,0.214,-0.213) - 0.619
(-0.158,0.454,0.364) - 0.619
(0.296,0.568,0.002) - 0.621
(0.135,0.139,-0.693) - 0.621
(-0.334,0.249,-0.191) - 0.622
(-0.314,0.536,0.149) - 0.623
(-0.120,0.422,0.344) - 0.623
(-0.323,0.563,0.240) - 0.624
(-0.181,0.192,-0.714) - 0.624
(0.350,0.504,-0.260) - 0.624
(0.364,0.483,-0.300) - 0.624
(0.161,0.431,-0.190) - 0.624
(0.052,0.349,-0.116) - 0.625
(-0.416,0.596,-0.440) - 0.625
(0.211,0.466,-0.813) - 0.626
(-0.129,0.394,-0.810) - 0.626
(0.311,0.558,-0.118) - 0.627
(0.184,0.161,-0.706) - 0.627
(-0.111,0.361,-0.778) - 0.628
(-0.349,0.527,-0.259) - 0.629
(-0.292,0.560,0.295) - 0.629
(-0.361,0.581,-0.540) - 0.629
(-0.422,0.584,-0.338) - 0.630
(0.102,0.133,0.371) - 0.632
(-0.088,0.419,-0.815) - 0.632
