Simulation Results:
Method: CPU
Path check-points: 8
Rays per check-point: 1000
Total Hits: 2474
Total Rays: 8000
Hit Ratio: 30.9 %%
Total polygons: 20684
Time [seconds]: 4.178
Time [millisec]: 4178
Time [microsec]: 4178315

List of all Hit points (sorted by length of ray)
Format: (x,y,z) - length :
(13.415,0.099,-3.933) - 0.508
(13.423,0.127,-3.957) - 0.509
(13.407,0.071,-3.908) - 0.510
(15.941,0.093,-8.104) - 0.510
(13.466,0.149,-4.081) - 0.511
(15.926,0.195,-8.061) - 0.511
(8.125,0.056,-4.694) - 0.511
(15.945,0.020,-8.117) - 0.511
(13.479,0.132,-4.120) - 0.511
(15.786,0.327,-7.649) - 0.512
(13.498,0.069,-4.176) - 0.512
(15.774,0.310,-7.615) - 0.513
(13.504,0.024,-4.192) - 0.513
(13.432,0.157,-3.981) - 0.514
(13.453,0.168,-4.043) - 0.514
(13.398,0.044,-3.882) - 0.514
(15.742,0.231,-7.521) - 0.515
(15.715,0.047,-7.444) - 0.515
(13.493,0.116,-4.160) - 0.516
(15.891,0.312,-7.959) - 0.518
(15.797,0.349,-7.681) - 0.518
(15.761,0.297,-7.578) - 0.520
(15.849,0.364,-7.835) - 0.521
(15.937,0.170,-8.091) - 0.521
(13.440,0.188,-4.005) - 0.522
(15.866,0.354,-7.884) - 0.522
(13.389,0.016,-3.856) - 0.522
(8.132,0.010,-4.715) - 0.523
(13.401,0.120,-3.892) - 0.523
(13.410,0.149,-3.918) - 0.524
(13.474,0.182,-4.105) - 0.524
(13.513,0.053,-4.218) - 0.525
(13.488,0.165,-4.145) - 0.526
(13.507,0.100,-4.202) - 0.526
(13.392,0.092,-3.866) - 0.526
(13.461,0.201,-4.067) - 0.527
(13.418,0.179,-3.942) - 0.527
(15.708,0.002,-7.422) - 0.529
(13.519,0.006,-4.235) - 0.530
(15.833,0.382,-7.788) - 0.531
(15.953,0.068,-8.138) - 0.531
(15.807,0.376,-7.712) - 0.531
(13.502,0.148,-4.186) - 0.532
(13.383,0.063,-3.839) - 0.533
(15.747,0.286,-7.537) - 0.533
(13.448,0.222,-4.029) - 0.534
(13.427,0.211,-3.967) - 0.535
(15.884,0.352,-7.937) - 0.535
(15.718,0.174,-7.452) - 0.536
(15.948,0.146,-8.125) - 0.537
(15.711,0.127,-7.431) - 0.538
(8.136,0.089,-4.728) - 0.540
(13.522,0.084,-4.246) - 0.541
(15.725,0.224,-7.473) - 0.541
(13.482,0.218,-4.129) - 0.541
(13.373,0.035,-3.810) - 0.543
(13.396,0.173,-3.876) - 0.543
(13.517,0.133,-4.229) - 0.543
(13.529,0.036,-4.264) - 0.543
(13.469,0.237,-4.090) - 0.544
(13.386,0.143,-3.849) - 0.544
(13.496,0.200,-4.170) - 0.544
(13.404,0.204,-3.902) - 0.546
(15.703,0.080,-7.408) - 0.546
(15.922,0.287,-8.050) - 0.546
(13.435,0.245,-3.990) - 0.547
(13.377,0.114,-3.821) - 0.549
(15.933,0.259,-8.079) - 0.549
(15.913,0.320,-8.023) - 0.550
(13.456,0.259,-4.052) - 0.551
(8.144,0.041,-4.751) - 0.552
(13.511,0.184,-4.212) - 0.552
(15.817,0.409,-7.741) - 0.552
(13.413,0.237,-3.927) - 0.553
(14.431,0.012,-3.690) - 0.554
(15.732,0.279,-7.492) - 0.555
(14.446,0.031,-3.734) - 0.556
(13.363,0.005,-3.780) - 0.556
(15.859,0.408,-7.865) - 0.557
(13.367,0.085,-3.792) - 0.557
(14.422,0.042,-3.663) - 0.557
(15.944,0.232,-8.112) - 0.558
(14.437,0.061,-3.707) - 0.558
(15.766,0.368,-7.593) - 0.558
(15.961,0.121,-8.162) - 0.558
(15.966,0.041,-8.177) - 0.558
(15.778,0.388,-7.629) - 0.559
(13.532,0.118,-4.275) - 0.560
(15.695,0.033,-7.384) - 0.560
(14.407,0.024,-3.619) - 0.561
(15.904,0.357,-7.997) - 0.561
(13.539,0.068,-4.294) - 0.561
(14.428,0.093,-3.680) - 0.562
(15.877,0.400,-7.917) - 0.562
(14.461,0.050,-3.777) - 0.563
(14.452,0.081,-3.750) - 0.563
(14.413,0.074,-3.636) - 0.563
(13.443,0.284,-4.014) - 0.563
(15.843,0.425,-7.817) - 0.564
(13.491,0.258,-4.154) - 0.564
(13.422,0.273,-3.952) - 0.564
(15.753,0.354,-7.554) - 0.565
(13.526,0.170,-4.257) - 0.565
(14.471,0.019,-3.805) - 0.566
(13.477,0.278,-4.114) - 0.566
(14.443,0.113,-3.723) - 0.566
(13.505,0.240,-4.196) - 0.568
(13.546,0.019,-4.313) - 0.568
(13.380,0.200,-3.832) - 0.568
(14.398,0.055,-3.592) - 0.568
(15.790,0.414,-7.662) - 0.568
(13.356,0.056,-3.761) - 0.569
(14.392,0.005,-3.574) - 0.570
(13.390,0.232,-3.860) - 0.570
(14.419,0.125,-3.653) - 0.570
(13.371,0.169,-3.803) - 0.571
(15.956,0.207,-8.147) - 0.572
(14.404,0.106,-3.609) - 0.572
(14.467,0.102,-3.794) - 0.572
(14.434,0.146,-3.696) - 0.573
(13.464,0.301,-4.076) - 0.573
(14.477,0.071,-3.822) - 0.574
(20.696,0.155,-6.262) - 0.575
(14.458,0.134,-3.767) - 0.575
(13.399,0.266,-3.886) - 0.577
(13.520,0.224,-4.239) - 0.577
(15.706,0.219,-7.417) - 0.577
(15.698,0.168,-7.393) - 0.577
(13.360,0.140,-3.773) - 0.577
(20.689,0.105,-6.239) - 0.578
(14.487,0.039,-3.851) - 0.578
(14.382,0.036,-3.546) - 0.579
(14.388,0.088,-3.563) - 0.579
(15.738,0.343,-7.510) - 0.580
(14.449,0.167,-3.740) - 0.581
(15.896,0.402,-7.973) - 0.581
(13.430,0.313,-3.976) - 0.582
(14.409,0.160,-3.626) - 0.582
(15.827,0.452,-7.770) - 0.583
(13.550,0.103,-4.326) - 0.583
(14.424,0.180,-3.670) - 0.584
(13.543,0.155,-4.306) - 0.584
(15.689,0.118,-7.367) - 0.584
(15.714,0.274,-7.439) - 0.585
(14.394,0.141,-3.581) - 0.585
(15.975,0.095,-8.203) - 0.585
(13.345,0.025,-3.728) - 0.586
(13.451,0.328,-4.038) - 0.586
(14.497,0.008,-3.880) - 0.587
(15.801,0.447,-7.693) - 0.587
(14.483,0.124,-3.840) - 0.587
(8.158,0.076,-4.792) - 0.587
(13.349,0.110,-3.741) - 0.588
(14.473,0.157,-3.812) - 0.588
(13.408,0.304,-3.912) - 0.588
(13.557,0.052,-4.346) - 0.588
(14.493,0.093,-3.869) - 0.590
(14.439,0.202,-3.713) - 0.590
(14.372,0.070,-3.516) - 0.591
(15.981,0.011,-8.220) - 0.592
(13.536,0.210,-4.287) - 0.592
(13.500,0.303,-4.179) - 0.592
(15.969,0.181,-8.187) - 0.593
(14.464,0.191,-3.784) - 0.593
(14.378,0.123,-3.535) - 0.594
(14.365,0.017,-3.497) - 0.594
(13.486,0.324,-4.139) - 0.594
(14.503,0.061,-3.899) - 0.596
(13.514,0.285,-4.222) - 0.597
(14.400,0.197,-3.598) - 0.598
(14.415,0.218,-3.643) - 0.598
(15.680,0.068,-7.340) - 0.599
(13.364,0.232,-3.785) - 0.601
(15.939,0.337,-8.099) - 0.601
(13.374,0.265,-3.815) - 0.601
(14.454,0.227,-3.757) - 0.602
(13.472,0.349,-4.099) - 0.602
(14.384,0.178,-3.553) - 0.602
(13.337,0.080,-3.706) - 0.604
(15.721,0.337,-7.460) - 0.604
(15.929,0.372,-8.068) - 0.604
(14.430,0.241,-3.686) - 0.604
(15.870,0.464,-7.896) - 0.604
(13.353,0.200,-3.753) - 0.605
(8.168,0.025,-4.820) - 0.605
(13.438,0.359,-4.000) - 0.605
(15.951,0.306,-8.133) - 0.606
(13.416,0.347,-3.937) - 0.606
(14.514,0.029,-3.930) - 0.607
(14.489,0.183,-3.858) - 0.607
(13.384,0.301,-3.843) - 0.607
(13.530,0.270,-4.268) - 0.607
(14.361,0.105,-3.486) - 0.608
(14.499,0.149,-3.888) - 0.608
(15.853,0.480,-7.847) - 0.609
(14.355,0.051,-3.466) - 0.609
(20.744,0.131,-6.242) - 0.610
(13.561,0.142,-4.359) - 0.611
(14.479,0.218,-3.829) - 0.611
(14.510,0.117,-3.918) - 0.612
(20.684,0.199,-6.225) - 0.612
(14.368,0.160,-3.505) - 0.612
(13.554,0.197,-4.338) - 0.614
(13.342,0.169,-3.720) - 0.614
(13.569,0.088,-4.382) - 0.614
(20.675,0.145,-6.200) - 0.614
(15.889,0.459,-7.951) - 0.615
(14.445,0.266,-3.730) - 0.616
(13.459,0.379,-4.061) - 0.617
(15.919,0.413,-8.039) - 0.617
(15.811,0.491,-7.723) - 0.617
(15.758,0.442,-7.569) - 0.617
(20.692,0.256,-6.248) - 0.618
(14.406,0.259,-3.615) - 0.618
(15.964,0.278,-8.171) - 0.618
(14.390,0.238,-3.570) - 0.618
(20.725,0.222,-6.250) - 0.619
(14.469,0.255,-3.801) - 0.619
(13.393,0.341,-3.870) - 0.619
(15.991,0.066,-8.250) - 0.620
(15.670,0.015,-7.310) - 0.620
(14.521,0.084,-3.951) - 0.620
(15.984,0.156,-8.231) - 0.621
(15.771,0.466,-7.607) - 0.622
(15.744,0.424,-7.527) - 0.623
(14.421,0.282,-3.659) - 0.623
(20.666,0.092,-6.174) - 0.624
(13.325,0.048,-3.670) - 0.624
(13.577,0.034,-4.405) - 0.624
(14.374,0.219,-3.523) - 0.624
(15.683,0.216,-7.351) - 0.625
(13.547,0.256,-4.318) - 0.625
(15.693,0.273,-7.377) - 0.627
(14.343,0.087,-3.433) - 0.628
(15.837,0.508,-7.799) - 0.628
(13.330,0.139,-3.684) - 0.628
(14.350,0.143,-3.454) - 0.628
(13.509,0.356,-4.206) - 0.629
(13.494,0.379,-4.164) - 0.631
(15.673,0.162,-7.322) - 0.632
(19.551,0.013,-2.932) - 0.632
(13.425,0.396,-3.961) - 0.632
(14.506,0.212,-3.906) - 0.633
(14.336,0.032,-3.412) - 0.633
(14.460,0.295,-3.773) - 0.633
(14.532,0.051,-3.984) - 0.633
(13.524,0.338,-4.250) - 0.633
(19.567,0.035,-2.981) - 0.634
(14.517,0.178,-3.938) - 0.635
(14.436,0.309,-3.703) - 0.635
(19.540,0.048,-2.901) - 0.635
(14.495,0.248,-3.876) - 0.635
(19.557,0.070,-2.951) - 0.635
(14.357,0.202,-3.474) - 0.636
(15.978,0.252,-8.214) - 0.638
(13.446,0.414,-4.023) - 0.638
(15.783,0.500,-7.641) - 0.639
(13.402,0.387,-3.896) - 0.639
(15.728,0.414,-7.480) - 0.639
(15.701,0.335,-7.402) - 0.639
(19.523,0.027,-2.851) - 0.639
(13.480,0.407,-4.124) - 0.640
(19.547,0.106,-2.920) - 0.641
(14.528,0.144,-3.971) - 0.641
(19.585,0.057,-3.031) - 0.641
(13.358,0.304,-3.766) - 0.641
(19.574,0.092,-3.000) - 0.641
(15.910,0.465,-8.013) - 0.642
(19.530,0.084,-2.870) - 0.642
(13.346,0.270,-3.733) - 0.642
(14.485,0.286,-3.847) - 0.643
(14.396,0.305,-3.588) - 0.643
(13.574,0.185,-4.396) - 0.644
(14.380,0.284,-3.541) - 0.644
(19.595,0.022,-3.063) - 0.645
(19.563,0.128,-2.969) - 0.645
(13.540,0.322,-4.298) - 0.645
(5.691,0.014,-5.697) - 0.645
(13.582,0.128,-4.420) - 0.646
(15.663,0.109,-7.290) - 0.646
(13.368,0.343,-3.796) - 0.647
(13.316,0.107,-3.645) - 0.647
(5.708,0.036,-5.748) - 0.647
(19.512,0.063,-2.820) - 0.648
(13.334,0.237,-3.698) - 0.648
(14.412,0.330,-3.632) - 0.649
(5.680,0.049,-5.666) - 0.649
(5.698,0.071,-5.717) - 0.649
(13.311,0.014,-3.629) - 0.649
(19.506,0.005,-2.800) - 0.649
(20.707,0.327,-6.258) - 0.650
(19.536,0.143,-2.889) - 0.650
(8.185,0.062,-4.870) - 0.650
(13.566,0.244,-4.373) - 0.650
(14.545,0.017,-4.020) - 0.650
(14.332,0.126,-3.399) - 0.651
(14.364,0.265,-3.493) - 0.652
